window_id,filename,subject_id,action_code,label,head_drop,shoulder_drop,head_velocity_mean,head_velocity_max,torso_tilt_std,torso_tilt_range,lateral_sway_range,sway_direction_changes,min_hand_to_chest,hand_to_chest_drop,accel_slope,vertical_ratio,max_downward_vel,ending_tilt,tilt_net_change,knee_bend_min,elbow_angle_min,hand_dwell_frames,foot_sep_std,time_to_min_drop
0,S001C001P001R001A001.skeleton,1,1,Normal Activity,0.013047017330619637,0.0012286359761779497,0.00393970939833229,0.013666055629173621,0.2638090513596906,1.2631987439505394,0.010235884978274327,16,0.33689009096499545,0.07162545828053818,-9.915092055522775e-06,0.7879890154803718,0.00895543970185031,13.608580102379522,-0.009416356837732565,1.4628474287837903,77.76236900927303,0,0.02166065910260983,0.9666666666666667
1,S001C001P001R001A001.skeleton,1,1,Normal Activity,0.029073899385902546,0.012165813906640621,0.0071138499230959055,0.0354831036097744,0.8590010086673558,2.864938062619844,0.03552046251820199,12,0.3215938970922294,0.10147198342732067,0.0003115820029028675,0.33259565690354087,0.009314977132867996,15.210333272910855,2.559700069992468,1.4666367361334307,50.89675757406594,0,0.030091679222999212,0.5666666666666667
2,S001C001P001R001A001.skeleton,1,1,Normal Activity,0.03600500596062228,0.013100631887742464,0.010434407552990207,0.04096718097138811,0.7666525055611002,3.332465635070003,0.03552046251820199,13,0.27970583935518234,0.08471805899719576,0.00010038843935718884,0.25453342349967806,0.039946447672357444,15.901945429406258,1.6820943444119134,1.4666367361334307,35.02085200859626,1,0.023192757866027792,0.9333333333333333
3,S001C001P001R001A001.skeleton,1,1,Normal Activity,0.06643808293393771,0.008563402207945048,0.01396028773548552,0.06763092390097233,0.4867967719350441,2.145081803218268,0.02916976512051707,16,0.27970583935518234,0.05915234872135949,0.00030857872982279193,0.5164399251477164,0.039946447672357444,15.030553607013239,-0.21165765039012463,1.4377193798697607,35.02085200859626,1,0.014509605344600177,0.43333333333333335
4,S001C001P001R001A001.skeleton,1,1,Normal Activity,0.015031047406555587,0.007301848502853758,0.011817485637853132,0.06763092390097233,0.5168650132670818,2.0264167859101114,0.013673229392301103,16,0.28973975627868465,0.03905733283876006,-0.0004140806796276785,0.5287735149437427,0.023473934392129747,16.05939315531671,0.674481160027776,1.4059448225886806,68.61423211793037,2,0.011904582614542015,0.1
5,S001C002P001R001A001.skeleton,1,1,Normal Activity,0.02970450803113245,0.004383290658179995,0.005650755243517273,0.016621553381273586,0.38260696268298516,1.6734472352331942,0.016077509739485032,16,0.3146375451362919,0.10505041095323481,-2.9439427211201965e-05,3.0132185958343256,0.015101656279827624,9.29608043507352,0.9945315164524118,1.3180970506262335,83.66065481916762,0,0.06494071097328966,0.9333333333333333
6,S001C002P001R001A001.skeleton,1,1,Normal Activity,0.031105987989965334,0.0012708855178825695,0.006456302582264437,0.028033669686973916,1.865716426704335,5.107874863571965,0.0599182812052478,11,0.3146375451362919,0.10788584434363252,0.0001548281476593726,0.23789440568344902,0.008785436493324195,4.537277305672854,-4.479456105516499,1.5187569285945508,83.66065481916762,0,0.0649487019595137,0.43333333333333335
7,S001C002P001R001A001.skeleton,1,1,Normal Activity,0.09881442985274558,0.03731870539823934,0.012906646671133313,0.14212022549749576,5.896457464505419,14.005662109236736,0.141801713564895,10,0.4486523106380247,0.08988567215614662,-2.6471192162042146e-05,0.7685411467591546,0.1383286628304261,18.36784271191135,8.897787245664771,1.5187569285945508,54.67105498273772,0,0.09195051092767274,0.5
8,S001C002P001R001A001.skeleton,1,1,Normal Activity,0.06418034438428877,0.0072351493925635335,0.012891317234615616,0.06237268090732225,0.80823398858026,3.270764827180077,0.0680770420602853,16,0.45840264226545385,0.06169269203886257,0.0005304225815893061,0.6908107031730489,0.039620900162694817,16.512883638833184,-1.5296998615879822,1.3444595986547452,61.02470814321698,0,0.10087335177555376,0.9333333333333333
9,S001C002P001R001A001.skeleton,1,1,Normal Activity,0.11170494058036873,0.0008520598578986016,0.012567030976545365,0.06237268090732225,1.3495222822758453,4.2661243479718305,0.07026675901921832,12,0.45840264226545385,0.010014561049635273,-0.000578035571537192,1.2299549207160623,0.039620900162694817,15.357799855404464,-3.8305019720815086,1.2394689589960537,61.02470814321698,0,0.09926211530974834,0.43333333333333335
